"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Eastern Province_Bugesera",0.9374,0.9396,0.9101,0.9592,0.04905,0.2589
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Eastern Province_Gatsibo",0.9407,0.9414,0.9181,0.9595,0.0414,0.223
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Eastern Province_Kayonza",0.9383,0.94,0.9111,0.958,0.04692,0.233
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Eastern Province_Kirehe",0.94,0.9412,0.9164,0.9601,0.04376,0.2294
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Eastern Province_Ngoma",0.94,0.9415,0.9139,0.9609,0.047,0.2424
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Eastern Province_Nyagatare",0.9376,0.9394,0.9107,0.958,0.04735,0.2517
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Eastern Province_Rwamagana",0.9406,0.9419,0.9152,0.9615,0.04633,0.2463
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Northern Province_Burera",0.9498,0.9506,0.9301,0.9657,0.03565,0.2201
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Northern Province_Gakenke",0.951,0.9521,0.9293,0.9694,0.0401,0.2539
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Northern Province_Gicumbi",0.9502,0.9509,0.9317,0.9667,0.03508,0.2254
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Northern Province_Musanze",0.9468,0.9482,0.9224,0.9658,0.04339,0.2583
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Northern Province_Rulindo",0.9476,0.949,0.9245,0.9663,0.04178,0.2618
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Southern Province_Gisagara",0.9242,0.9244,0.8962,0.9488,0.05258,0.215
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Southern Province_Huye",0.9147,0.9177,0.8829,0.9378,0.05489,0.2083
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Southern Province_Kamonyi",0.9278,0.9279,0.9007,0.9552,0.05453,0.2222
"RWA","Rwanda",2019,"RW2019DHS","RH_DELP_C_DHT",2,"Southern Province_Muhanga",0.9294,0.9292,0.9023,0.9587,0.05643,0.2388
