"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Kusini Pemba",0.8703,0.8703,0.8295,0.9025,0.07309,0.1704
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Kusini Unguja",0.9216,0.9216,0.892,0.9436,0.05156,0.1975
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Lindi",0.7364,0.7364,0.6763,0.7888,0.1125,0.1301
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Manyara",0.6968,0.6968,0.5562,0.8082,0.2521,0.2569
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Mara",0.7158,0.7158,0.647,0.7758,0.1288,0.1383
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Mbeya",0.9049,0.9049,0.8554,0.9386,0.0832,0.2612
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Mjini Magharibi",0.9542,0.9542,0.9331,0.9689,0.0358,0.2328
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Morogoro",0.7768,0.7768,0.7272,0.8196,0.09243,0.1259
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Mtwara",0.7965,0.7965,0.7436,0.8408,0.09721,0.1452
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Mwanza",0.8323,0.8323,0.794,0.8647,0.07077,0.1281
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Njombe",0.8886,0.8886,0.8645,0.9088,0.04426,0.1203
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Pwani",0.8101,0.8101,0.7516,0.8575,0.1059,0.1693
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Rukwa",0.7615,0.7615,0.7157,0.802,0.08628,0.1101
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Ruvuma",0.8248,0.8248,0.7676,0.8702,0.1026,0.1775
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Shinyanga",0.763,0.763,0.7012,0.8154,0.1142,0.1466
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Simiyu",0.7392,0.7392,0.6765,0.7936,0.1171,0.1368
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Singida",0.8841,0.8841,0.8476,0.9127,0.06513,0.1697
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Songwe",0.7136,0.7136,0.5916,0.8108,0.2192,0.2353
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Tabora",0.6148,0.6148,0.5442,0.681,0.1368,0.1086
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",1,"Tanga",0.7504,0.7504,0.655,0.8264,0.1714,0.2096
"TZA","Tanzania",2022,"TZ2022DHS","ED_LITR_W_LIT",2,"Arusha_Arusha",0.9102,0.914,0.8588,0.9483,0.08953,0.3325
